AIRPORT_NAME,AIRPORT_ZIP_CODE,DEPARTURE_CODE,DOMESTIC_CODE,TICKETS_SOLD,TAIL_NUMBER,PLANE_MODEL,DESTINATION_CODE,DEPARTING_DELAY,SCHEDULED_DEPARTURE_UTC
Dallas/Fort Worth International Airport,75261,DFW,UA,297,#A496KDO,Airbus A340,DEN,0,2024-07-02 07:16:00.000
O'Hare International Airport,60666,ORD,AA,327,#W042DMX,Boeing 777,EWR,0,2024-07-02 07:16:00.000
Charlotte Douglas International Airport,28208,CLT,AA,288,#G662HPN,Airbus A350,JFK,0,2024-07-02 07:17:00.000
Hartsfield–Jackson Atlanta International Airport,30320,ATL,DLTA,277,#A657PFG,Boeing 777,SEA,0,2024-07-02 07:18:00.000
Harry Reid International Airport,89119,LAS,AA,109,#Y359HJL,Airbus A320,SEA,0,2024-07-02 08:02:00.000
John F. Kennedy International Airport,11430,JFK,UA,157,#Y751IET,Boeing 737 MAX,LAX,0,2024-07-02 08:02:00.000
George Bush Intercontinental Airport,77032,IAH,DLTA,246,#Y113TFN,Boeing 787 Dreamliner,CLT,0,2024-07-02 08:03:00.000
Dallas/Fort Worth International Airport,75261,DFW,UA,245,#P942CQE,Boeing 767,JFK,0,2024-07-02 08:05:00.000
Miami International Airport,33126,MIA,UA,121,#P212CCA,Airbus A320,MSP,0,2024-07-02 08:08:00.000
Charlotte Douglas International Airport,28208,CLT,AA,131,#H126NRF,Boeing 737 MAX,FLL,0,2024-07-02 08:12:00.000
Hartsfield–Jackson Atlanta International Airport,30320,ATL,AA,184,#X281DEN,Boeing 767,PHX,0,2024-07-02 08:13:00.000
Seattle–Tacoma International Airport,98158,SEA,UA,486,#B475JRW,Airbus A380,DFW,0,2024-07-02 08:13:00.000
San Francisco International Airport,94128,SFO,AA,280,#L216ZGT,Airbus A350,DFW,0,2024-07-02 08:13:00.000
Orlando International Airport,32827,MCO,DLTA,284,#O331OKS,Boeing 747,DFW,0,2024-07-02 08:15:00.000
Logan International Airport,02128,BOS,DLTA,286,#O549RWI,Boeing 777,PHX,0,2024-07-02 08:16:00.000
Phoenix Sky Harbor International Airport,85034,PHX,DLTA,331,#I290AGW,Boeing 777,SFO,0,2024-07-02 08:16:00.000
Los Angeles International Airport,90045,LAX,UA,313,#F592DYC,Boeing 777,ATL,0,2024-07-02 08:19:00.000
Fort Lauderdale–Hollywood International Airport,33315,FLL,UA,322,#Y922HAH,Boeing 777,ORD,0,2024-07-02 08:19:00.000
Denver International Airport,80249,DEN,UA,201,#P081DEW,Airbus A350,MSP,0,2024-07-02 08:20:00.000
Minneapolis–Saint Paul International Airport,55450,MSP,DLTA,378,#T805UXT,Boeing 747,LAS,1,2024-07-02 08:21:00.000
O'Hare International Airport,60666,ORD,DLTA,241,#L248SXG,Boeing 767,MSP,0,2024-07-02 08:22:00.000
Newark Liberty International Airport,07114,EWR,AA,124,#P137MYL,Airbus A320,MSP,0,2024-07-02 08:23:00.000
San Francisco International Airport,94128,SFO,AA,131,#J154XKA,Airbus A320neo,CLT,0,2024-07-02 09:02:00.000
Charlotte Douglas International Airport,28208,CLT,UA,193,#Q480EPF,Boeing 767,SFO,0,2024-07-02 09:04:00.000
Los Angeles International Airport,90045,LAX,DLTA,139,#V993APX,Airbus A320neo,SFO,0,2024-07-02 09:07:00.000
Miami International Airport,33126,MIA,DLTA,287,#O173SIR,Boeing 747,BOS,0,2024-07-02 09:08:00.000
Dallas/Fort Worth International Airport,75261,DFW,AA,312,#A227NXJ,Boeing 777,MCO,0,2024-07-02 09:10:00.000
Logan International Airport,02128,BOS,UA,296,#E774JKL,Boeing 787 Dreamliner,LAX,0,2024-07-02 09:11:00.000
O'Hare International Airport,60666,ORD,AA,325,#Z911AUR,Boeing 777,BOS,0,2024-07-02 09:13:00.000
Fort Lauderdale–Hollywood International Airport,33315,FLL,AA,117,#D349DUD,Airbus A320neo,SEA,0,2024-07-02 09:15:00.000
George Bush Intercontinental Airport,77032,IAH,AA,132,#M088WJY,Airbus A320,LAX,0,2024-07-02 09:15:00.000
Seattle–Tacoma International Airport,98158,SEA,AA,247,#R108JHN,Boeing 767,LAX,0,2024-07-02 09:16:00.000
Minneapolis–Saint Paul International Airport,55450,MSP,AA,394,#B419VNB,Airbus A380,BOS,0,2024-07-02 09:17:00.000
Hartsfield–Jackson Atlanta International Airport,30320,ATL,UA,254,#O402LMZ,Boeing 777,ORD,0,2024-07-02 09:17:00.000
Denver International Airport,80249,DEN,UA,111,#M022MUF,Boeing 737,ORD,0,2024-07-02 09:18:00.000
Harry Reid International Airport,89119,LAS,AA,98,#T171PWH,Boeing 737,ORD,0,2024-07-02 09:22:00.000
Orlando International Airport,32827,MCO,AA,339,#U280EAT,Airbus A380,JFK,0,2024-07-02 09:22:00.000
Newark Liberty International Airport,07114,EWR,UA,331,#N611GCL,Airbus A340,MCO,0,2024-07-02 09:23:00.000
Phoenix Sky Harbor International Airport,85034,PHX,AA,398,#E000UJK,Airbus A380,MSP,0,2024-07-02 09:27:00.000
John F. Kennedy International Airport,11430,JFK,DLTA,129,#C133MTH,Boeing 737 MAX,DFW,0,2024-07-02 09:27:00.000
George Bush Intercontinental Airport,77032,IAH,UA,320,#G134RKK,Boeing 747,JFK,0,2024-07-02 10:06:00.000
Miami International Airport,33126,MIA,UA,351,#D330CVX,Boeing 747,DFW,0,2024-07-02 10:07:00.000
John F. Kennedy International Airport,11430,JFK,AA,111,#P873FGW,Airbus A320,FLL,0,2024-07-02 10:07:00.000
Orlando International Airport,32827,MCO,DLTA,393,#W565SXT,Airbus A380,MIA,0,2024-07-02 10:08:00.000
Los Angeles International Airport,90045,LAX,UA,253,#G483UTP,Boeing 777,PHX,0,2024-07-02 10:11:00.000
O'Hare International Airport,60666,ORD,DLTA,244,#O354AGI,Airbus A340,JFK,0,2024-07-02 10:13:00.000
Newark Liberty International Airport,07114,EWR,AA,276,#X887AOE,Boeing 787 Dreamliner,PHX,0,2024-07-02 10:14:00.000
Dallas/Fort Worth International Airport,75261,DFW,UA,265,#M869QNP,Airbus A350,LAS,0,2024-07-02 10:16:00.000
Fort Lauderdale–Hollywood International Airport,33315,FLL,DLTA,209,#B997RUY,Airbus A330,LAX,0,2024-07-02 10:20:00.000
Charlotte Douglas International Airport,28208,CLT,DLTA,157,#M157MGH,Boeing 737 MAX,ATL,0,2024-07-02 10:20:00.000
Phoenix Sky Harbor International Airport,85034,PHX,UA,459,#N910BOZ,Airbus A380,DFW,0,2024-07-02 10:21:00.000
Hartsfield–Jackson Atlanta International Airport,30320,ATL,AA,145,#P760VBR,Boeing 737 MAX,DFW,0,2024-07-02 10:22:00.000
San Francisco International Airport,94128,SFO,DLTA,115,#J691LZW,Airbus A320,JFK,0,2024-07-02 10:22:00.000
Minneapolis–Saint Paul International Airport,55450,MSP,AA,218,#S659QAE,Airbus A350,FLL,0,2024-07-02 10:24:00.000
Seattle–Tacoma International Airport,98158,SEA,DLTA,158,#G586FKS,Boeing 737 MAX,JFK,0,2024-07-02 10:25:00.000
Denver International Airport,80249,DEN,DLTA,387,#M137GVF,Airbus A380,FLL,0,2024-07-02 10:27:00.000
Logan International Airport,02128,BOS,UA,284,#E874BKM,Airbus A350,DFW,0,2024-07-02 10:28:00.000
Harry Reid International Airport,89119,LAS,DLTA,202,#K012PPK,Boeing 787 Dreamliner,MCO,0,2024-07-02 10:29:00.000
Fort Lauderdale–Hollywood International Airport,33315,FLL,DLTA,113,#B785KDP,Airbus A320,DEN,0,2024-07-02 11:10:00.000
Orlando International Airport,32827,MCO,AA,98,#G966ZRA,Boeing 737,FLL,0,2024-07-02 11:12:00.000
Minneapolis–Saint Paul International Airport,55450,MSP,DLTA,135,#H578EIR,Airbus A320neo,JFK,0,2024-07-02 11:13:00.000
Dallas/Fort Worth International Airport,75261,DFW,AA,239,#X857YMH,Airbus A340,ORD,0,2024-07-02 11:15:00.000
Los Angeles International Airport,90045,LAX,AA,277,#I397QDX,Airbus A350,FLL,0,2024-07-02 11:18:00.000
Hartsfield–Jackson Atlanta International Airport,30320,ATL,AA,134,#E282NKO,Airbus A320neo,BOS,0,2024-07-02 11:18:00.000
San Francisco International Airport,94128,SFO,DLTA,134,#M173MMN,Airbus A320neo,MSP,0,2024-07-02 11:18:00.000
Harry Reid International Airport,89119,LAS,DLTA,263,#A755SUQ,Boeing 787 Dreamliner,EWR,0,2024-07-02 11:19:00.000
Miami International Airport,33126,MIA,AA,231,#K430DAI,Airbus A330,DEN,0,2024-07-02 11:19:00.000
Phoenix Sky Harbor International Airport,85034,PHX,AA,132,#A870NVS,Airbus A320neo,MIA,0,2024-07-02 11:22:00.000
O'Hare International Airport,60666,ORD,AA,323,#L857FSU,Boeing 777,CLT,0,2024-07-02 11:25:00.000
George Bush Intercontinental Airport,77032,IAH,AA,114,#G161RHB,Airbus A320neo,LAS,0,2024-07-02 11:25:00.000
John F. Kennedy International Airport,11430,JFK,AA,132,#Y625EGS,Boeing 737,CLT,1,2024-07-02 11:26:00.000
Denver International Airport,80249,DEN,DLTA,284,#W228RHI,Airbus A340,MCO,0,2024-07-02 11:26:00.000
Seattle–Tacoma International Airport,98158,SEA,AA,313,#T064GFT,Airbus A340,MSP,0,2024-07-02 11:27:00.000
Newark Liberty International Airport,07114,EWR,DLTA,319,#Z927PZX,Boeing 777,SFO,0,2024-07-02 11:28:00.000
Logan International Airport,02128,BOS,DLTA,129,#J281JSG,Airbus A320neo,MCO,0,2024-07-02 11:30:00.000
Charlotte Douglas International Airport,28208,CLT,UA,122,#T857YMO,Airbus A320,PHX,0,2024-07-02 11:33:00.000
John F. Kennedy International Airport,11430,JFK,UA,259,#W096PVE,Boeing 767,PHX,0,2024-07-02 12:15:00.000
Miami International Airport,33126,MIA,UA,276,#D563CSE,Boeing 777,MCO,0,2024-07-02 12:16:00.000
Newark Liberty International Airport,07114,EWR,AA,333,#S821BMX,Boeing 747,SEA,0,2024-07-02 12:16:00.000
Phoenix Sky Harbor International Airport,85034,PHX,UA,256,#C484PFA,Boeing 747,ATL,0,2024-07-02 12:16:00.000
Minneapolis–Saint Paul International Airport,55450,MSP,AA,117,#L059DMO,Airbus A320neo,IAH,0,2024-07-02 12:16:00.000
Seattle–Tacoma International Airport,98158,SEA,UA,184,#W350WRD,Airbus A330,MIA,0,2024-07-02 12:19:00.000
Charlotte Douglas International Airport,28208,CLT,DLTA,131,#U701KNO,Airbus A320,MCO,0,2024-07-02 12:19:00.000
George Bush Intercontinental Airport,77032,IAH,DLTA,124,#R177DIF,Boeing 737,SEA,0,2024-07-02 12:25:00.000
Orlando International Airport,32827,MCO,DLTA,102,#L427SCX,Airbus A320neo,LAS,0,2024-07-02 12:25:00.000
O'Hare International Airport,60666,ORD,AA,141,#W368INM,Boeing 737 MAX,IAH,0,2024-07-02 12:29:00.000
Harry Reid International Airport,89119,LAS,UA,228,#M379DJD,Airbus A330,JFK,0,2024-07-02 12:30:00.000
Logan International Airport,02128,BOS,DLTA,263,#B917GGH,Boeing 777,SEA,0,2024-07-02 12:30:00.000
Denver International Airport,80249,DEN,DLTA,159,#L262OUS,Boeing 737 MAX,DFW,0,2024-07-02 12:33:00.000
Los Angeles International Airport,90045,LAX,AA,298,#S315GFL,Boeing 777,SEA,0,2024-07-02 12:33:00.000
San Francisco International Airport,94128,SFO,UA,207,#K003AOV,Airbus A350,MIA,0,2024-07-02 12:33:00.000
Dallas/Fort Worth International Airport,75261,DFW,AA,303,#L742QGX,Airbus A340,BOS,0,2024-07-02 12:34:00.000
Hartsfield–Jackson Atlanta International Airport,30320,ATL,AA,181,#V029BTW,Boeing 767,LAS,0,2024-07-02 12:35:00.000
Fort Lauderdale–Hollywood International Airport,33315,FLL,DLTA,280,#D934HFF,Boeing 787 Dreamliner,JFK,0,2024-07-02 12:37:00.000
Dallas/Fort Worth International Airport,75261,DFW,DLTA,252,#W797CVO,Boeing 767,LAX,0,2024-07-02 13:20:00.000
George Bush Intercontinental Airport,77032,IAH,UA,250,#Z175XSS,Boeing 747,DFW,0,2024-07-02 13:20:00.000
Denver International Airport,80249,DEN,AA,134,#G208JDU,Boeing 737,CLT,0,2024-07-02 13:23:00.000
Seattle–Tacoma International Airport,98158,SEA,UA,104,#Y589IAV,Airbus A320,ATL,0,2024-07-02 13:25:00.000
Fort Lauderdale–Hollywood International Airport,33315,FLL,DLTA,254,#W770XHX,Boeing 767,EWR,0,2024-07-02 13:27:00.000
Hartsfield–Jackson Atlanta International Airport,30320,ATL,DLTA,107,#L280DWE,Boeing 737,FLL,0,2024-07-02 13:27:00.000
Charlotte Douglas International Airport,28208,CLT,UA,129,#X360TEY,Boeing 737,LAS,0,2024-07-02 13:28:00.000
Orlando International Airport,32827,MCO,UA,236,#M591MJB,Boeing 787 Dreamliner,PHX,0,2024-07-02 13:29:00.000
Logan International Airport,02128,BOS,DLTA,293,#X478YMS,Boeing 747,SFO,0,2024-07-02 13:31:00.000
Minneapolis–Saint Paul International Airport,55450,MSP,DLTA,205,#Q936EGL,Boeing 767,SEA,0,2024-07-02 13:33:00.000
Newark Liberty International Airport,07114,EWR,DLTA,160,#U613KMV,Boeing 737 MAX,ORD,0,2024-07-02 13:34:00.000
San Francisco International Airport,94128,SFO,AA,445,#W790LZD,Airbus A380,BOS,0,2024-07-02 13:37:00.000
O'Hare International Airport,60666,ORD,UA,420,#B221WBK,Airbus A380,MCO,0,2024-07-02 13:39:00.000
Phoenix Sky Harbor International Airport,85034,PHX,DLTA,115,#H927MLQ,Boeing 737,FLL,0,2024-07-02 13:39:00.000
John F. Kennedy International Airport,11430,JFK,UA,113,#D246HUZ,Boeing 737 MAX,SEA,0,2024-07-02 13:40:00.000
Harry Reid International Airport,89119,LAS,UA,147,#Q756CUW,Boeing 737 MAX,LAX,0,2024-07-02 13:41:00.000
Miami International Airport,33126,MIA,UA,245,#L694RSD,Boeing 747,JFK,0,2024-07-02 13:42:00.000
Los Angeles International Airport,90045,LAX,DLTA,270,#M490ACZ,Boeing 787 Dreamliner,MIA,0,2024-07-02 13:43:00.000
George Bush Intercontinental Airport,77032,IAH,DLTA,220,#T044AGG,Airbus A330,FLL,0,2024-07-02 14:22:00.000
San Francisco International Airport,94128,SFO,AA,324,#K953CNN,Boeing 777,LAX,0,2024-07-02 14:24:00.000
Fort Lauderdale–Hollywood International Airport,33315,FLL,UA,127,#U265SZG,Airbus A320,LAS,0,2024-07-02 14:25:00.000
Dallas/Fort Worth International Airport,75261,DFW,UA,194,#V943VCD,Airbus A330,SEA,0,2024-07-02 14:27:00.000
Minneapolis–Saint Paul International Airport,55450,MSP,DLTA,124,#T218NQE,Boeing 737 MAX,EWR,0,2024-07-02 14:28:00.000
Denver International Airport,80249,DEN,UA,113,#K709MIV,Airbus A320,SFO,0,2024-07-02 14:30:00.000
O'Hare International Airport,60666,ORD,DLTA,199,#G064ATA,Boeing 767,SEA,0,2024-07-02 14:34:00.000
Seattle–Tacoma International Airport,98158,SEA,UA,106,#W015LRY,Boeing 737,PHX,0,2024-07-02 14:35:00.000
Los Angeles International Airport,90045,LAX,DLTA,245,#D833JKR,Boeing 787 Dreamliner,DFW,0,2024-07-02 14:36:00.000
Miami International Airport,33126,MIA,AA,299,#L612MWU,Boeing 777,ATL,1,2024-07-02 14:36:00.000
Hartsfield–Jackson Atlanta International Airport,30320,ATL,AA,223,#C972ENI,Airbus A350,IAH,0,2024-07-02 14:36:00.000
Newark Liberty International Airport,07114,EWR,DLTA,387,#T266OWE,Airbus A380,LAS,0,2024-07-02 14:37:00.000
Charlotte Douglas International Airport,28208,CLT,AA,230,#I166HJZ,Airbus A330,MSP,0,2024-07-02 14:43:00.000
Logan International Airport,02128,BOS,UA,230,#T732PON,Boeing 777,CLT,0,2024-07-02 14:43:00.000
Harry Reid International Airport,89119,LAS,UA,408,#Q998QJD,Airbus A380,MSP,0,2024-07-02 14:43:00.000
Orlando International Airport,32827,MCO,DLTA,94,#D109ZOZ,Airbus A320,EWR,0,2024-07-02 14:46:00.000
John F. Kennedy International Airport,11430,JFK,DLTA,136,#E934TWS,Boeing 737 MAX,DEN,0,2024-07-02 14:47:00.000
Phoenix Sky Harbor International Airport,85034,PHX,UA,306,#P549AFL,Airbus A340,ORD,0,2024-07-02 14:47:00.000
Harry Reid International Airport,89119,LAS,DLTA,246,#N839OIL,Boeing 747,IAH,0,2024-07-02 15:26:00.000
San Francisco International Airport,94128,SFO,AA,291,#A312WXW,Airbus A350,LAS,0,2024-07-02 15:26:00.000
Denver International Airport,80249,DEN,UA,265,#N284MPO,Boeing 777,ATL,0,2024-07-02 15:27:00.000
Dallas/Fort Worth International Airport,75261,DFW,UA,215,#K202WKN,Airbus A330,ATL,0,2024-07-02 15:29:00.000
Fort Lauderdale–Hollywood International Airport,33315,FLL,UA,123,#I844QPY,Boeing 737 MAX,MIA,0,2024-07-02 15:30:00.000
Logan International Airport,02128,BOS,DLTA,100,#M440IPE,Boeing 737,ORD,0,2024-07-02 15:31:00.000
Charlotte Douglas International Airport,28208,CLT,AA,101,#Z029CIQ,Airbus A320neo,EWR,0,2024-07-02 15:34:00.000
Newark Liberty International Airport,07114,EWR,UA,355,#A152TMR,Airbus A380,BOS,0,2024-07-02 15:35:00.000
Miami International Airport,33126,MIA,DLTA,114,#T504FSE,Boeing 737 MAX,LAX,0,2024-07-02 15:35:00.000
Minneapolis–Saint Paul International Airport,55450,MSP,AA,215,#G118KAV,Boeing 767,CLT,0,2024-07-02 15:36:00.000
John F. Kennedy International Airport,11430,JFK,UA,210,#L074YFE,Boeing 767,ORD,0,2024-07-02 15:37:00.000
Orlando International Airport,32827,MCO,DLTA,133,#M252BAP,Airbus A320neo,MSP,0,2024-07-02 15:38:00.000
George Bush Intercontinental Airport,77032,IAH,UA,231,#O772LFX,Airbus A350,ATL,0,2024-07-02 15:39:00.000
Seattle–Tacoma International Airport,98158,SEA,UA,110,#G733ALZ,Boeing 737,FLL,0,2024-07-02 15:41:00.000
Hartsfield–Jackson Atlanta International Airport,30320,ATL,AA,304,#L614XAX,Boeing 747,SFO,0,2024-07-02 15:42:00.000
Los Angeles International Airport,90045,LAX,DLTA,247,#N636KKX,Airbus A350,MCO,0,2024-07-02 15:43:00.000
O'Hare International Airport,60666,ORD,UA,113,#X240PGJ,Airbus A320,DFW,0,2024-07-02 15:43:00.000
Phoenix Sky Harbor International Airport,85034,PHX,DLTA,290,#O658URH,Boeing 777,DEN,0,2024-07-02 15:48:00.000
Los Angeles International Airport,90045,LAX,DLTA,339,#G256HMO,Boeing 747,EWR,0,2024-07-02 16:31:00.000
Seattle–Tacoma International Airport,98158,SEA,DLTA,108,#F525ODP,Airbus A320,MCO,0,2024-07-02 16:33:00.000
Dallas/Fort Worth International Airport,75261,DFW,UA,229,#P085ORD,Boeing 767,CLT,0,2024-07-02 16:33:00.000
Miami International Airport,33126,MIA,AA,270,#J636BTX,Boeing 747,SEA,0,2024-07-02 16:33:00.000
John F. Kennedy International Airport,11430,JFK,AA,315,#C414CHS,Airbus A340,MSP,0,2024-07-02 16:36:00.000
Fort Lauderdale–Hollywood International Airport,33315,FLL,AA,214,#Y419IIK,Airbus A350,CLT,0,2024-07-02 16:37:00.000
Charlotte Douglas International Airport,28208,CLT,UA,244,#E711KAU,Airbus A330,BOS,0,2024-07-02 16:38:00.000
Minneapolis–Saint Paul International Airport,55450,MSP,UA,346,#Q565IAT,Boeing 747,ATL,0,2024-07-02 16:39:00.000
Newark Liberty International Airport,07114,EWR,UA,466,#W889BHB,Airbus A380,MIA,0,2024-07-02 16:40:00.000
Logan International Airport,02128,BOS,DLTA,112,#D213QFB,Airbus A320,ATL,0,2024-07-02 16:41:00.000
O'Hare International Airport,60666,ORD,DLTA,449,#O173URO,Airbus A380,SFO,0,2024-07-02 16:41:00.000
George Bush Intercontinental Airport,77032,IAH,AA,212,#D431PDE,Boeing 787 Dreamliner,DEN,0,2024-07-02 16:42:00.000
Harry Reid International Airport,89119,LAS,AA,231,#U768NSQ,Airbus A330,ATL,0,2024-07-02 16:44:00.000
Denver International Airport,80249,DEN,UA,160,#J121BCU,Boeing 737 MAX,EWR,0,2024-07-02 16:47:00.000
Orlando International Airport,32827,MCO,DLTA,333,#A442MET,Boeing 747,SEA,0,2024-07-02 16:51:00.000
San Francisco International Airport,94128,SFO,AA,123,#J146CGN,Boeing 737 MAX,SEA,0,2024-07-02 16:52:00.000
Phoenix Sky Harbor International Airport,85034,PHX,AA,127,#G189DZX,Airbus A320neo,JFK,0,2024-07-02 16:54:00.000
Hartsfield–Jackson Atlanta International Airport,30320,ATL,UA,387,#N751HVW,Airbus A380,JFK,0,2024-07-02 16:55:00.000
Harry Reid International Airport,89119,LAS,AA,193,#Q587CUQ,Airbus A330,SFO,0,2024-07-02 17:35:00.000
George Bush Intercontinental Airport,77032,IAH,UA,113,#I974YOU,Airbus A320,MCO,0,2024-07-02 17:36:00.000
Miami International Airport,33126,MIA,DLTA,264,#R165ZGO,Airbus A340,SFO,0,2024-07-02 17:38:00.000
Denver International Airport,80249,DEN,AA,106,#L323ELM,Airbus A320neo,SEA,0,2024-07-02 17:38:00.000
O'Hare International Airport,60666,ORD,DLTA,154,#L045INE,Boeing 737 MAX,ATL,0,2024-07-02 17:44:00.000
Phoenix Sky Harbor International Airport,85034,PHX,AA,278,#R530KND,Boeing 777,IAH,0,2024-07-02 17:45:00.000
Fort Lauderdale–Hollywood International Airport,33315,FLL,AA,445,#W795SOR,Airbus A380,BOS,1,2024-07-02 17:45:00.000
John F. Kennedy International Airport,11430,JFK,AA,194,#T874EPW,Boeing 767,MIA,0,2024-07-02 17:46:00.000
San Francisco International Airport,94128,SFO,UA,128,#R787FVJ,Boeing 737 MAX,FLL,0,2024-07-02 17:47:00.000
Seattle–Tacoma International Airport,98158,SEA,DLTA,101,#Z735OFI,Boeing 737,EWR,0,2024-07-02 17:47:00.000
Charlotte Douglas International Airport,28208,CLT,UA,326,#M669WBE,Boeing 747,DEN,0,2024-07-02 17:48:00.000
Hartsfield–Jackson Atlanta International Airport,30320,ATL,DLTA,125,#U450PWJ,Boeing 737 MAX,MCO,0,2024-07-02 17:50:00.000
Orlando International Airport,32827,MCO,DLTA,250,#N258ZGU,Boeing 747,ORD,0,2024-07-02 17:50:00.000
Newark Liberty International Airport,07114,EWR,AA,250,#U720OGS,Boeing 767,DFW,0,2024-07-02 17:54:00.000
Logan International Airport,02128,BOS,AA,273,#T918CYT,Boeing 747,EWR,0,2024-07-02 17:54:00.000
Dallas/Fort Worth International Airport,75261,DFW,DLTA,283,#X900RXM,Boeing 787 Dreamliner,MIA,0,2024-07-02 17:55:00.000
Minneapolis–Saint Paul International Airport,55450,MSP,DLTA,269,#Q533LFE,Airbus A340,LAX,0,2024-07-02 17:55:00.000
Los Angeles International Airport,90045,LAX,AA,329,#H370GWQ,Airbus A340,IAH,0,2024-07-02 17:56:00.000
Minneapolis–Saint Paul International Airport,55450,MSP,UA,297,#O907RCR,Boeing 777,MIA,0,2024-07-02 18:41:00.000
Los Angeles International Airport,90045,LAX,UA,270,#B435MHY,Boeing 777,CLT,0,2024-07-02 18:45:00.000
George Bush Intercontinental Airport,77032,IAH,UA,482,#O131FIG,Airbus A380,BOS,0,2024-07-02 18:46:00.000
San Francisco International Airport,94128,SFO,DLTA,241,#N691ZAM,Airbus A330,PHX,0,2024-07-02 18:49:00.000
Dallas/Fort Worth International Airport,75261,DFW,DLTA,270,#C465IBR,Airbus A350,IAH,0,2024-07-02 18:50:00.000
